A#,S12,S14,S15,S16
A1,226,235.7,338.9,314.6
A3,255.4,235.7,338.9,314.6
A5,235.1,235.7,338.9,314.6
A6,418.4,235.7,298,371.3
A7,410.6,409.3,366.8,360.9
A8,410.6,409.3,366.8,328.8
A9,244.1,409.3,366.8,328.8
A10,244.1,289,366.8,297.2
A13,260.5,289,366.8,297.2
A14,268.7,289,366.8,297.2
A15,237.3,289,366.8,297.2
A16,271.4,289,253.2,297.2
A17,238.5,289,224.4,297.3
A18,357.8,337.1,270,281.5
A20,258,337.1,270,328.6
A21,278.4,337.1,270,328.6
A22,385.8,337.1,244.1,281.2
A25,440.4,417.5,335.4,362.1
A26,278.2,291.9,335.4,362.1
A27,278.2,291.9,275.2,362.1
A30,225.3,291.9,275.2,362.1
A34,251.2,291.9,275.2,362.1
A35,251.2,291.9,275.2,249
A40,229.7,291.9,275.2,247.4
A41,226.3,291.9,275.2,247.4
A42,226.3,291.9,309.8,247.4
A44,429,291.9,309.8,247.4
A51,429,291.9,309.8,290.4
A70,429,291.9,309.8,356.8
A82,429,291.9,309.8,280.2
A86,429,291.9,309.8,346.5
A97,429,291.9,309.8,234.8
A99,429,291.9,309.8,241.2
A201,289.7,291.9,309.8,241.2
A203,289.7,291.9,309.8,323
A224,328.9,291.9,309.8,325
A241,328.9,291.9,309.8,383.5
A257,328.9,291.9,258.5,383.5
